year_month,product,n_pairs
2022-01,flower,51
2022-01,gummies,50
2022-01,oil,48
2022-01,topical,6
2022-01,vape,49
2022-02,flower,48
2022-02,gummies,45
2022-02,oil,42
2022-02,topical,7
2022-02,vape,45
2022-03,flower,48
2022-03,gummies,41
2022-03,oil,52
2022-03,topical,4
2022-03,vape,47
2022-04,flower,46
2022-04,gummies,47
2022-04,oil,52
2022-04,topical,8
2022-04,vape,38
2022-05,flower,39
2022-05,gummies,56
2022-05,oil,46
2022-05,topical,8
2022-05,vape,36
2022-06,flower,51
2022-06,gummies,44
2022-06,oil,58
2022-06,topical,9
2022-06,vape,40
2022-07,flower,32
2022-07,gummies,47
2022-07,oil,57
2022-07,topical,11
2022-07,vape,32
2022-08,flower,42
2022-08,gummies,46
2022-08,oil,48
2022-08,topical,8
2022-08,vape,51
2022-09,flower,38
2022-09,gummies,53
2022-09,oil,46
2022-09,topical,9
2022-09,vape,44
2022-10,flower,37
2022-10,gummies,43
2022-10,oil,49
2022-10,topical,2
2022-10,vape,50
2022-11,flower,49
2022-11,gummies,44
2022-11,oil,53
2022-11,topical,7
2022-11,vape,52
2022-12,flower,46
2022-12,gummies,54
2022-12,oil,55
2022-12,topical,2
2022-12,vape,42
2023-01,flower,48
2023-01,gummies,54
2023-01,oil,49
2023-01,topical,14
2023-01,vape,43
2023-02,flower,38
2023-02,gummies,54
2023-02,oil,46
2023-02,topical,3
2023-02,vape,38
2023-03,flower,43
2023-03,gummies,45
2023-03,oil,42
2023-03,topical,9
2023-03,vape,34
2023-04,flower,43
2023-04,gummies,54
2023-04,oil,43
2023-04,topical,2
2023-04,vape,43
2023-05,flower,41
2023-05,gummies,49
2023-05,oil,44
2023-05,topical,9
2023-05,vape,39
2023-06,flower,41
2023-06,gummies,51
2023-06,oil,49
2023-06,topical,6
2023-06,vape,45
2023-07,flower,45
2023-07,gummies,49
2023-07,oil,49
2023-07,topical,8
2023-07,vape,45
2023-08,flower,48
2023-08,gummies,64
2023-08,oil,49
2023-08,topical,5
2023-08,vape,45
2023-09,flower,49
2023-09,gummies,49
2023-09,oil,54
2023-09,topical,3
2023-09,vape,54
2023-10,flower,48
2023-10,gummies,49
2023-10,oil,47
2023-10,topical,7
2023-10,vape,45
2023-11,flower,40
2023-11,gummies,61
2023-11,oil,57
2023-11,topical,4
2023-11,vape,39
2023-12,flower,43
2023-12,gummies,54
2023-12,oil,60
2023-12,topical,7
2023-12,vape,45
2024-01,flower,41
2024-01,gummies,58
2024-01,oil,58
2024-01,topical,7
2024-01,vape,41
2024-02,flower,51
2024-02,gummies,53
2024-02,oil,60
2024-02,topical,6
2024-02,vape,47
2024-03,flower,30
2024-03,gummies,44
2024-03,oil,49
2024-03,topical,3
2024-03,vape,38
2024-04,flower,49
2024-04,gummies,56
2024-04,oil,52
2024-04,topical,3
2024-04,vape,50
2024-05,flower,33
2024-05,gummies,43
2024-05,oil,50
2024-05,topical,3
2024-05,vape,37
2024-06,flower,47
2024-06,gummies,56
2024-06,oil,55
2024-06,topical,2
2024-06,vape,50
2024-07,flower,43
2024-07,gummies,49
2024-07,oil,52
2024-07,topical,4
2024-07,vape,50
2024-08,flower,59
2024-08,gummies,50
2024-08,oil,52
2024-08,topical,8
2024-08,vape,51
2024-09,flower,37
2024-09,gummies,56
2024-09,oil,46
2024-09,topical,6
2024-09,vape,54
2024-10,flower,44
2024-10,gummies,57
2024-10,oil,53
2024-10,topical,7
2024-10,vape,59
2024-11,flower,46
2024-11,gummies,45
2024-11,oil,45
2024-11,topical,2
2024-11,vape,41
2024-12,flower,41
2024-12,gummies,42
2024-12,oil,49
2024-12,topical,10
2024-12,vape,50
