year_month,flower,oil,gummies,vape,topical
2022-01,51,48,50,49,6
2022-02,48,42,45,45,7
2022-03,48,52,41,47,4
2022-04,46,52,47,38,8
2022-05,39,46,56,36,8
2022-06,51,58,44,40,9
2022-07,32,57,47,32,11
2022-08,42,48,46,51,8
2022-09,38,46,53,44,9
2022-10,37,49,43,50,2
2022-11,49,53,44,52,7
2022-12,46,55,54,42,2
2023-01,48,49,54,43,14
2023-02,38,46,54,38,3
2023-03,43,42,45,34,9
2023-04,43,43,54,43,2
2023-05,41,44,49,39,9
2023-06,41,49,51,45,6
2023-07,45,49,49,45,8
2023-08,48,49,64,45,5
2023-09,49,54,49,54,3
2023-10,48,47,49,45,7
2023-11,40,57,61,39,4
2023-12,43,60,54,45,7
2024-01,41,58,58,41,7
2024-02,51,60,53,47,6
2024-03,30,49,44,38,3
2024-04,49,52,56,50,3
2024-05,33,50,43,37,3
2024-06,47,55,56,50,2
2024-07,43,52,49,50,4
2024-08,59,52,50,51,8
2024-09,37,46,56,54,6
2024-10,44,53,57,59,7
2024-11,46,45,45,41,2
2024-12,41,49,42,50,10
