year_month,product,sentiment,n_pairs,month_product_total,share
2022-01,flower,negative,15,51,0.29411764705882354
2022-01,flower,neutral,14,51,0.27450980392156865
2022-01,flower,positive,22,51,0.43137254901960786
2022-01,gummies,negative,17,50,0.34
2022-01,gummies,neutral,14,50,0.28
2022-01,gummies,positive,19,50,0.38
2022-01,oil,negative,13,48,0.2708333333333333
2022-01,oil,neutral,8,48,0.16666666666666666
2022-01,oil,positive,27,48,0.5625
2022-01,topical,neutral,2,6,0.3333333333333333
2022-01,topical,positive,4,6,0.6666666666666666
2022-01,vape,negative,13,49,0.2653061224489796
2022-01,vape,neutral,6,49,0.12244897959183673
2022-01,vape,positive,30,49,0.6122448979591837
2022-02,flower,negative,12,48,0.25
2022-02,flower,neutral,12,48,0.25
2022-02,flower,positive,24,48,0.5
2022-02,gummies,negative,10,45,0.2222222222222222
2022-02,gummies,neutral,6,45,0.13333333333333333
2022-02,gummies,positive,29,45,0.6444444444444445
2022-02,oil,negative,9,42,0.21428571428571427
2022-02,oil,neutral,8,42,0.19047619047619047
2022-02,oil,positive,25,42,0.5952380952380952
2022-02,topical,negative,1,7,0.14285714285714285
2022-02,topical,positive,6,7,0.8571428571428571
2022-02,vape,negative,13,45,0.28888888888888886
2022-02,vape,neutral,11,45,0.24444444444444444
2022-02,vape,positive,21,45,0.4666666666666667
2022-03,flower,negative,13,48,0.2708333333333333
2022-03,flower,neutral,5,48,0.10416666666666667
2022-03,flower,positive,30,48,0.625
2022-03,gummies,negative,20,41,0.4878048780487805
2022-03,gummies,neutral,3,41,0.07317073170731707
2022-03,gummies,positive,18,41,0.43902439024390244
2022-03,oil,negative,8,52,0.15384615384615385
2022-03,oil,neutral,8,52,0.15384615384615385
2022-03,oil,positive,36,52,0.6923076923076923
2022-03,topical,neutral,1,4,0.25
2022-03,topical,positive,3,4,0.75
2022-03,vape,negative,15,47,0.3191489361702128
2022-03,vape,neutral,6,47,0.1276595744680851
2022-03,vape,positive,26,47,0.5531914893617021
2022-04,flower,negative,13,46,0.2826086956521739
2022-04,flower,neutral,7,46,0.15217391304347827
2022-04,flower,positive,26,46,0.5652173913043478
2022-04,gummies,negative,17,47,0.3617021276595745
2022-04,gummies,neutral,4,47,0.0851063829787234
2022-04,gummies,positive,26,47,0.5531914893617021
2022-04,oil,negative,15,52,0.28846153846153844
2022-04,oil,neutral,11,52,0.21153846153846154
2022-04,oil,positive,26,52,0.5
2022-04,topical,negative,2,8,0.25
2022-04,topical,neutral,1,8,0.125
2022-04,topical,positive,5,8,0.625
2022-04,vape,negative,14,38,0.3684210526315789
2022-04,vape,neutral,5,38,0.13157894736842105
2022-04,vape,positive,19,38,0.5
2022-05,flower,negative,7,39,0.1794871794871795
2022-05,flower,neutral,8,39,0.20512820512820512
2022-05,flower,positive,24,39,0.6153846153846154
2022-05,gummies,negative,20,56,0.35714285714285715
2022-05,gummies,neutral,12,56,0.21428571428571427
2022-05,gummies,positive,24,56,0.42857142857142855
2022-05,oil,negative,10,46,0.21739130434782608
2022-05,oil,neutral,9,46,0.1956521739130435
2022-05,oil,positive,27,46,0.5869565217391305
2022-05,topical,positive,8,8,1.0
2022-05,vape,negative,14,36,0.3888888888888889
2022-05,vape,neutral,5,36,0.1388888888888889
2022-05,vape,positive,17,36,0.4722222222222222
2022-06,flower,negative,13,51,0.2549019607843137
2022-06,flower,neutral,9,51,0.17647058823529413
2022-06,flower,positive,29,51,0.5686274509803921
2022-06,gummies,negative,15,44,0.3409090909090909
2022-06,gummies,neutral,8,44,0.18181818181818182
2022-06,gummies,positive,21,44,0.4772727272727273
2022-06,oil,negative,16,58,0.27586206896551724
2022-06,oil,neutral,12,58,0.20689655172413793
2022-06,oil,positive,30,58,0.5172413793103449
2022-06,topical,neutral,3,9,0.3333333333333333
2022-06,topical,positive,6,9,0.6666666666666666
2022-06,vape,negative,11,40,0.275
2022-06,vape,neutral,11,40,0.275
2022-06,vape,positive,18,40,0.45
2022-07,flower,negative,9,32,0.28125
2022-07,flower,neutral,9,32,0.28125
2022-07,flower,positive,14,32,0.4375
2022-07,gummies,negative,16,47,0.3404255319148936
2022-07,gummies,neutral,3,47,0.06382978723404255
2022-07,gummies,positive,28,47,0.5957446808510638
2022-07,oil,negative,16,57,0.2807017543859649
2022-07,oil,neutral,14,57,0.24561403508771928
2022-07,oil,positive,27,57,0.47368421052631576
2022-07,topical,negative,2,11,0.18181818181818182
2022-07,topical,neutral,1,11,0.09090909090909091
2022-07,topical,positive,8,11,0.7272727272727273
2022-07,vape,negative,12,32,0.375
2022-07,vape,neutral,6,32,0.1875
