text_id,n_products
hqrt7lw,1
hqs1aeh,2
hqs7u29,2
hqsgolp,3
hqt14xp,2
hqt21pc,1
hqt76s9,1
hqt9umi,1
hqt9ym4,2
hqtcd7f,1
hqtd46w,1
hqtg7xt,1
hqto7y4,1
hqtp822,3
hqu4c9b,1
hqui556,2
hquu3dq,1
hqvhvfg,3
hqvwzt7,3
hqwf7bj,2
hqwkdfx,3
hqwte7r,3
hqxei68,2
hqxxbfr,2
hqxxk1t,1
hqy5aqy,1
hqydtpy,2
hqyu5a4,2
hqz1w25,1
hqzb3z8,2
hr01w3f,1
hr05m2e,1
hr0fpa3,2
hr0qgni,1
hr0qqir,1
hr11f0j,2
hr180kc,2
hr1ed85,2
hr1fykv,2
hr1s7ja,2
hr1uds3,2
hr2110g,2
hr259mi,1
hr26jg8,1
hr287lw,2
hr30942,1
hr3fp67,2
hr3sto5,2
hr3tf6o,1
hr3tw19,1
hr5vknj,1
hr6361w,1
hr69q69,1
hr6c04k,2
hr73afc,1
hr7mziv,3
hr8hr6l,2
hr8xrd3,2
hr9dhqm,1
hr9hjtc,2
hr9k8mr,2
hr9oba2,2
hr9tquk,1
hr9z8vp,1
hrao0uy,1
hrb78oj,2
hrba88x,1
hrdai2o,1
hrduer3,1
hrf8g1k,2
hrfq8pg,2
hrhfxsj,2
hrifsy7,1
hriut8m,2
hrjct8a,1
hrk1nva,1
hrku7ot,3
hrlmwst,1
hrluyh9,1
hrmdbow,1
hrmdi21,2
hroroom,2
hrpxhfm,1
hrpxwwm,3
hrr2wiw,3
hrsh4ge,2
hrsix9v,2
hrt51ch,3
hrvihsv,1
hrvr45w,1
hrx2bj1,2
hrxayhh,1
hryri8h,2
hrz3u09,1
hs4gj4r,3
hs5sb2n,2
hs6epi6,1
hs7swz3,1
hs81o6h,1
hs8y2zv,1
hsa1bxq,1
hsb1ux7,1
hsb6gzl,2
hsbecwy,1
hsccyxi,1
hscu291,1
hsd2n6m,1
hsdv42v,1
hsebpjc,1
hsgyrea,5
hsjjjkm,2
hsl1mqw,1
hsm207v,1
hsnfb17,1
hsnpqdc,2
hso0u5h,4
hsrgau4,1
hsswgph,1
ht8e6fc,1
ht9wj19,2
hty91je,2
hu34pp4,3
huajbdi,1
hv31my7,1
hv350co,2
hv36bgo,2
hv3a1ou,2
hv3at8d,1
hv3ppor,2
hv3q3fd,2
hv3ytnt,2
hv48twp,1
hv4a9ag,1
hv54zpr,2
hv5g31b,1
hv5o3tx,2
hv6agra,2
hv6fc4u,1
hv6kawd,2
hv71bnb,1
hv7606g,1
hv7dnvj,3
hv7gtvn,1
hv7mmt7,2
hv8528z,1
hv85lsm,1
hv9ikew,3
hv9sh1v,2
hv9ymi0,4
hvahggc,1
hvamz1h,2
hvba4qb,3
hvbkoss,1
hvbs24e,1
hvbxcrw,1
hvchy3a,1
hvd6auf,1
hvdizt7,1
hvdp4mj,1
hvdp77c,2
hveoztf,1
hvexyfe,1
hvf5vkh,1
hvfb0cl,1
hvfkvdy,2
hvfmhto,2
hvg16ey,2
hvg637i,1
hvgg5nz,1
hvgjvzi,1
hvgnp0j,1
hvgsarw,2
hvhj56n,1
hvhpfus,3
hvhzyu5,1
hvkihs9,1
hvkj93s,1
hvkta2p,2
hvmpmgt,2
hvmup2j,1
hvn790s,3
hvpceek,1
hvrcy00,1
hvrjavk,1
hvrkds8,2
hvrlnlz,3
hvrn6rr,1
hvs0czh,1
hvs5b18,2
hvsmn62,2
hvulnzy,2
hvvumch,2
hvw3y0m,2
hvy5aqm,1
hw1q599,1
hw35buh,3
hw49qj7,1
hw556xc,3
hw8narv,1
hwbckfd,3
hwcz0qi,1
hwd1lec,2
hwd61k6,1
hwe785e,1
hwegifw,2
hwi6ut5,1
hwjlch2,2
hwmn0y8,1
hwn2ej8,4
hwpxv08,1
hwrgs8w,2
hwsc9d6,1
hwuvs3o,2
hwv7vtf,3
hwv9hio,2
hwwubat,1
hx1wq7v,3
hx2derg,3
hx78lpo,1
hxan0wv,2
hxbk5b7,2
hxbsacb,1
hxnb71c,1
hxnhpbf,1
hxraef0,2
hxvaohq,3
hy0lm8e,1
hy9d4sr,2
hybnq7t,1
hyc6cx1,4
hyf0kh4,2
hym1n1y,1
hyqipqo,3
hyqnvsr,1
hyvbpfn,1
hyvcxze,2
hyvounq,2
hyvu3pi,1
hyvzxlc,3
hyw3wsi,1
hywc62b,2
hywvvh8,1
hyx2lqi,1
hyx4juf,2
hyx9o8r,1
hyxairp,2
hyxh5c7,2
hyxhnye,1
hyxo43a,1
hyxr7og,3
hyxto84,1
hyxvaa4,2
hyxysxa,1
hyy6592,1
hyy7p0q,2
hyy8p0z,2
hyyauel,2
hyyl4ly,2
hyynioc,1
hyyrvfh,1
hyz0kyo,2
hyz3r1o,1
hyzr9fy,1
hyzrxnj,1
hyzs9ms,1
hyzwc4j,1
hyzwrjt,2
hz01y17,2
hz0dvhs,2
hz0jse3,2
hz0l51q,2
hz15roc,2
hz1gdn7,1
hz1krid,2
hz1kwb9,1
hz2083n,1
hz31ob0,2
hz351pf,2
hz3633p,2
hz3uohe,3
hz46iy9,2
hz59ryg,1
hz5gas4,1
hz6c74d,1
hz7btq1,1
hz8em7i,2
hz8j3gt,1
hz8l2id,2
hz8qluf,1
hz9j9ei,1
hza05p6,2
hzc4yym,1
hzcs9re,1
hzcyq3x,1
hzd43br,1
hzgn9xr,2
hzgpyo6,3
hzgsoz8,1
hzlpx6z,1
hznr4uv,1
hzorcez,1
hzpf1ei,1
hzqkl2f,2
hzs31xw,3
hzs36up,2
hzsgl9c,1
hzssmrj,2
hztdnvr,1
hzutdua,2
hzv63mc,3
hzwdcoy,1
hzwuq3l,1
hzwwvqr,2
hzxcrez,1
hzze6ls,1
i00g0yv,1
i010i0t,2
i02mmrr,2
i046npa,3
i05ow7g,1
i07eihp,2
i09hp9h,2
i0a9e10,1
i0b26w0,2
i0g31dz,1
i0gujii,2
i0jd8ax,1
i0jnd5w,1
i0rqyab,1
i0ruh57,1
i0sm0dw,1
i0snizm,1
i0ttr4r,2
i13cf2p,1
i173etp,2
i1a555d,1
i1an5ex,3
i1dxohw,2
i1e8qc0,1
i1jlr8l,2
i1orvqn,1
i1srivx,2
i1v0t9n,1
i23nfth,2
i242dvr,2
i27rz60,3
i29qiyy,2
i2bg9el,1
i2bsj1y,4
i2c1aw7,2
i2izmsv,1
i2ni4u8,3
i2oh37p,2
i2x8ogv,1
i2x9toc,1
i2xggjj,1
i2xih3l,2
i2xuwq2,1
i2ytu14,1
i2z2qn3,1
i2z7vo0,1
i2za5uy,1
i2ze50u,2
i2zgv48,1
i2zv6wu,2
i30eeyb,1
i30ltrj,2
i30zm6g,1
i318cgq,2
i318tbq,2
i31blya,1
i31esm7,2
i31kcq2,1
i31ledp,2
i31lkqo,1
i324fp0,1
i32wjox,1
i33m4qc,1
i33wqz2,1
i3455zz,2
i34h7o7,2
i35qr6p,2
i35s3ll,1
i368nc4,3
i36t738,2
i37tk6s,2
i37ur47,3
i3a0exr,1
i3a1o1c,1
i3aa6pk,3
i3ak6x9,2
i3b0cyx,1
i3ck7cu,2
i3cucls,1
i3czugl,1
i3d05iz,2
i3d8t8m,2
i3dh22e,1
i3dhxcc,2
i3efajc,2
i3ek376,2
i3er50g,1
i3gb306,1
i3ho5jr,2
i3ifa1z,3
i3iquhv,2
i3jiumh,1
i3jof2f,2
i3m0z2t,2
i3m25lx,2
i3m9k3i,1
i3o5eho,1
i3ot7or,1
i3pak38,2
i3pottb,1
i3qcjly,1
i3qngik,1
i3r4v0p,1
i3r63br,1
i3s1wot,3
i3t00gj,1
i3tfs9u,3
i3uislm,2
i3uvh7l,1
i3v83yv,2
i3xkk21,2
i3xm3sj,1
i3yjw6q,3
i3ywg5b,1
i41bg9o,1
i41jdwz,1
i41pr2c,2
i43s5av,2
i44hv4d,3
i49vd4c,1
i4azqku,2
i4b1smh,1
i4bfs8r,2
i4c0356,3
i4egyce,2
i4fcjww,2
i4hsr5p,1
i4jx3t2,2
i4l82o3,1
i4m1u7z,2
i4p2un3,2
i4ry6x9,1
i4saxrl,1
i4vsi46,3
i4yvew5,1
i4z994z,3
i4zn6vg,2
i52sn4y,1
i55wt3t,2
i566plf,2
i591v11,1
i5aq62k,1
i5ceuyv,2
i5ij2wa,2
i5n8imu,3
i5ndev8,1
i60wu6g,5
i66zw1a,3
i69mc59,3
i6a74h0,1
i6ezliz,3
i6nceiy,1
i6uwelz,1
i6vctw7,1
i6vpyca,2
i6vrqa7,2
i6wnwih,1
i6wr4a4,2
i6wwpdp,1
i6wx9il,1
i6wyabh,1
i6wyj31,1
i6xdwq3,1
i6xos9f,1
i6xralw,1
i6xvijw,1
i6y0t4w,1
i6y2apm,1
i6y5nv0,4
i6yec8i,1
i6yfr1k,1
i6yijkn,2
i6ykxeu,1
i6ym6ra,1
i6ypmua,1
i6ywbp2,1
i6yy7bf,1
i6z02ty,1
i6ze842,2
i6zjx2e,1
i6zory8,2
i6zq63b,1
i6zspf4,3
i6zwjwd,1
i700crt,1
i701ee8,1
i705ok2,1
i70kokb,1
i70xoq5,1
i710rqs,1
i72fj8g,1
i72hbes,2
i72mrhj,1
i734zhm,1
i73e3gs,2
i73gxyh,1
i73keag,1
i73ywz6,3
i74hlrp,1
i7596a6,1
i75amzn,2
i75bm04,2
i75kb1r,3
i76jlgk,1
i773qaa,1
i784rhj,1
i78g5zw,1
i79jdz4,1
i79jx9v,1
i79lwmh,1
i7atsmm,2
i7bzo4e,1
i7coqma,3
i7cqd2f,1
i7da5z6,3
i7dk2bu,2
i7e2y3i,1
i7f822i,1
i7gwulq,2
i7l9uu6,2
i7ltodw,1
i7ocy83,1
i7p7gdy,2
i7pnrsb,2
i7qon4e,2
i7s248j,2
i7sia6g,1
i7sr4yj,1
i7t34ef,1
i7t7u2l,1
i7tsoa3,1
i7ug3bh,2
i7vac4t,1
i7vbayr,1
i7y4t7r,1
i7y77dx,1
i7zfmk9,1
i836ua7,2
i85k2q5,1
i85meav,1
i8601dn,2
i86trli,1
i86xnup,1
i871ukv,1
i87p57t,1
i87xmfu,1
i881d4v,2
i88ju2p,1
i89m936,1
i8a0k3v,1
i8bkmyn,1
i8bt3wo,2
i8c2rzh,2
i8e4twp,2
i8f0kw4,1
i8j9v4a,1
i8klyvj,1
i8wb51a,1
i90ilka,3
i91ropp,1
i926vlt,3
i94kvkp,1
i956jbx,2
i97eea3,1
i99v2rn,1
i9etftx,2
i9hrwa0,2
i9i0wvp,1
i9jw2el,3
i9kdqf6,2
i9l8dq5,1
i9qsgfh,2
i9uocnw,3
i9wayge,1
i9xhs7r,1
i9xtwoz,1
i9yku1q,1
i9yl9zd,1
iab8y4o,2
ial9yzb,1
ialn8vm,1
iar9x4t,1
iasatwt,1
iasg0f2,2
iasic5m,2
iasnv3v,1
iatlfzp,2
iatojq7,1
iauark0,3
iaucmqx,2
iaulyis,1
iaurocs,1
iauuy2j,1
iauy05j,3
iav2gdf,1
iavfaku,1
iavtwnb,1
iaw2a18,1
iaw5h48,2
iaw5jc9,1
iax5rvx,4
iaxk1j5,2
iaxqyma,1
iaxwfg3,1
iay20ju,1
iay6zhn,1
iaybr0u,1
iayd1pi,3
iayskpm,2
iayunsf,1
iayy6d6,1
iaz1icy,4
iaz4sty,2
iaz6ts8,1
iazbx1z,2
iazeutd,1
ib0dav4,2
ib0h0wh,1
ib0rmzk,2
ib1e7de,2
ib1y0ds,1
ib2y1or,1
ib3rpoq,1
ib47grh,1
ib4am56,2
ib572ia,2
ib6yubz,1
ib77pul,2
ib7p4mz,1
ib8m6zl,1
ib900vb,2
ib9h4vr,1
ib9mx27,2
ib9rp1u,2
ibaudu4,1
ibb50oh,2
ibc8q9r,1
ibca6kx,1
ibcltfd,1
ibdqr7k,3
ibdxhuu,2
ibhc3zc,1
ibn42ds,1
ibo97lu,2
ibr4qna,4
ibryeh8,2
ibs3mgk,2
ibsw3qq,1
ibvdli0,2
ibvwrd0,1
ibwzekw,2
ibyxun8,1
ibz2r4o,1
ic2tib8,1
ic4vfuc,3
ic5o2s4,1
ic6aiio,2
ic6gfyb,2
ic7vyfr,4
ic99xn2,2
icbzvp2,1
icddr7b,1
icddt5r,1
icds1dv,4
icdxxzh,1
ice0orn,1
ice19wg,2
ice6hjv,1
ice8ko0,2
iceb4sl,1
iceipt3,1
iceuazf,2
icf4beh,2
icfrxyf,1
icg4zas,4
icgn6ie,2
icgttq5,3
icgvelt,3
icpfpe2,1
icq4j9q,3
iczyydq,4
id0smfr,1
id1nlpy,2
id4mu5o,1
id7x62b,4
idfgw6l,2
idi4hhm,1
idm6hd6,1
idv3vfy,1
idvt2ul,5
idxjotv,1
idyu6n5,1
ie0ngh1,2
ie0ojaw,1
ie3b5p9,3
ie8om4l,2
iea3bhn,2
ieec5nk,1
ieem5tm,1
ieepodz,3
iees67h,2
ieeshso,1
iefhjbs,1
iegbukh,2
iegma4n,2
iegu2c6,2
iegwtk8,1
ieh9yrx,1
iehz77l,1
ieia7ei,2
ieiespt,1
ieifd63,2
ieifgft,1
ieijemq,1
ieiwcyc,1
iejfxpa,1
iejndfa,2
iek174w,1
ieky69q,1
ielyswn,1
iemh921,2
ien4us7,2
ienizo1,1
ieo3gdg,2
ieoielo,1
iepm0x3,1
ieptbx1,2
iepzz7e,2
ieq5kru,2
ieqj5xd,2
ier12k7,1
ier3ilh,1
ier40i9,1
ier4kt0,2
ierfjhy,2
ierutc3,1
ierxy0h,1
iesmh31,1
iestkog,2
ietf8ho,1
ietz4dk,1
ieud5pu,1
ieurcev,2
ieveq6r,2
ievqkm2,1
iexqolz,1
ieygqko,1
iezlc83,1
if0xyy3,1
if196im,1
if3kj99,1
if77szt,1
if79axs,1
if8mimo,1
if99f55,1
if9y6cw,1
ifa3iwz,1
ifapbsl,2
ifbm0bm,3
ifd4be1,1
ifd6jar,4
ifddtrm,1
ife08nd,1
ifeb1oe,1
ifeiiuw,2
iff3z09,1
ifg3gpn,1
ifg3jr6,1
ifh5yh0,1
ifhjipc,3
ifi8ykf,2
ifiyecr,2
ifiz5sb,1
ifjb3bl,1
ifjd6ch,1
iflvpyc,2
ifmnhu2,1
ifnsh5n,2
ifor0mq,1
ifpbo8e,2
ifpk325,4
ifpql7b,2
ifq6al1,2
ifqsn87,2
ifsa3mu,1
ift16dh,1
iftueq0,2
iful9xy,2
ifvjc9a,2
ifydt9b,1
ifyuy64,3
ig1i9po,4
ig2feve,2
ig77isy,2
igf74pt,1
igfbt8h,1
igfvari,1
igj8u44,1
igj8zc3,1
igj9kdx,1
igl4onw,1
igq0rvl,2
igqxuui,1
ih10kdf,1
ihhw5wz,1
ihien5x,3
ihqvhde,2
ihrbg4q,2
ihx92z7,2
ii985vq,5
iig5cod,1
iigiotv,2
iigrrtj,2
iigstre,1
iigtyke,3
iihhn1v,1
iihmnh7,1
iiimwyo,2
iij6uw2,1
iijse9u,1
iikn0lx,1
iikqzgv,1
iikv7e0,2
iil7efy,1
iili6vo,1
iilmnxq,1
iim0zac,1
iimd2bt,1
iin6wiw,1
iin7bp5,1
iinmj7j,1
iinnbn0,2
iinqr6v,1
iinxieb,1
iinzl4b,1
iio7uma,1
iio8fqc,1
iio9wlp,2
iioguek,1
iip9fpm,1
iipjj8e,1
iipnyzy,2
iipqjfm,2
iipxfue,1
iiq1r57,1
iiqcjf7,1
iiqcrpm,2
iiqqzi5,2
iir3tmq,1
iis0f6v,2
iit38u4,1
iitngyn,1
iiu1rm0,2
iiu2xiw,1
iiugs5g,1
iiv0ko9,1
iiw1wq8,2
iiwqbm6,4
iiws6v9,2
iix43ub,1
iix8u2w,1
