text_id,product,sentiment,source,date_utc,response_id,extraction_error
hqqw7s3,vape,positive,comment,2022-01-01 00:09:24+00:00,chatcmpl-DXwLZvBGZWxuh6dn15TSHArdGl5AI,
hqqwmur,,,comment,2022-01-01 00:12:44+00:00,chatcmpl-DXwLaoRC3rrOhGBpy4aiwrMcMYZ8x,
hqqwzxi,,,comment,2022-01-01 00:15:38+00:00,chatcmpl-DXwLbinzDZ3gvWdCdU9jsHGoktznU,
hqqxpog,,,comment,2022-01-01 00:21:19+00:00,chatcmpl-DXwLdaJ55YlHiCwzKYOTRAEeeCdMm,
hqqxssq,,,comment,2022-01-01 00:21:59+00:00,chatcmpl-DXwLdKQ8eVdSFxp7maInc0xJWRDPz,
hqqxtj5,,,comment,2022-01-01 00:22:08+00:00,chatcmpl-DXwLemaH72WRhulT6GlHih5QvhbKa,
hqqyva9,,,comment,2022-01-01 00:30:26+00:00,chatcmpl-DXwLfC9fjShv8HRuNNiV3BH70wLzh,
hqqz1p2,,,comment,2022-01-01 00:31:50+00:00,chatcmpl-DXwLf8Zl4TEHdfVlRuQiBNRbXzWFT,
hqqz6go,,,comment,2022-01-01 00:32:53+00:00,chatcmpl-DXwLgz9Osb6HsemeG5HatVCP7YzZj,
hqqzeaq,,,comment,2022-01-01 00:34:35+00:00,chatcmpl-DXwLi8EtfoZEJpqLL0ezDsOTM3R0h,
hqqzzqz,,,comment,2022-01-01 00:39:15+00:00,chatcmpl-DXwLikDvsnz9ASoJHYaxrYy7aCCZj,
hqr05rg,,,comment,2022-01-01 00:40:31+00:00,chatcmpl-DXwLjvJlP123CgX1qzoxrht6ZYaDV,
hqr06nd,vape,neutral,comment,2022-01-01 00:40:42+00:00,chatcmpl-DXwLjVUU4TI0aZQnlX9i86TrIdM4R,
hqr0ife,,,comment,2022-01-01 00:43:16+00:00,chatcmpl-DXwLkk1S2Q4IfTeAKimpRkwBUpcGG,
hqr0yau,,,comment,2022-01-01 00:46:45+00:00,chatcmpl-DXwLmhIZDbBM0XmzSHUxlBgzFntLF,
hqr1am2,,,comment,2022-01-01 00:49:27+00:00,chatcmpl-DXwLmrIbC7O3QuiY9dSBB4risV3Rq,
hqr262w,gummies,negative,comment,2022-01-01 00:56:22+00:00,chatcmpl-DXwLnnE8wBiVIG95fvIR9CHEB8G4z,
hqr262w,gummies,positive,comment,2022-01-01 00:56:22+00:00,chatcmpl-DXwLnnE8wBiVIG95fvIR9CHEB8G4z,
hqr2kap,vape,negative,comment,2022-01-01 00:59:30+00:00,chatcmpl-DXwLoTgRbKeqtGAuqd21L9WjHSDE7,
hqr2n7c,,,comment,2022-01-01 01:00:08+00:00,chatcmpl-DXwLpa478GlI9Srsbp5VwRN3IFxMx,
hqr3924,,,comment,2022-01-01 01:04:54+00:00,chatcmpl-DXwLqdkUwsZ3ki655yPcTxVmNY66p,
hqr3yl0,flower,negative,comment,2022-01-01 01:10:25+00:00,chatcmpl-DXwLrg8oajQ9cRBzHh0ObJfywZoMi,
hqr3yl0,oil,negative,comment,2022-01-01 01:10:25+00:00,chatcmpl-DXwLrg8oajQ9cRBzHh0ObJfywZoMi,
hqr46of,vape,positive,comment,2022-01-01 01:12:11+00:00,chatcmpl-DXwLsqdR4RxTlWZrko6DTdCXxSPrM,
hqr5blt,,,comment,2022-01-01 01:21:04+00:00,chatcmpl-DXwLtuX78nMUzUCF7drD6CkeNHFOw,
hqr6mtv,,,comment,2022-01-01 01:31:27+00:00,chatcmpl-DXwLuDW85hKP22tOgHcqpw8j5W6md,
hqr6r4j,vape,negative,comment,2022-01-01 01:32:26+00:00,chatcmpl-DXwLvpPGhH9HVODeHIt0OyuUrOckq,
hqr6r4j,oil,positive,comment,2022-01-01 01:32:26+00:00,chatcmpl-DXwLvpPGhH9HVODeHIt0OyuUrOckq,
hqr7jup,oil,positive,comment,2022-01-01 01:38:54+00:00,chatcmpl-DXwLxfUCS7O5zcq39ZoNswerSE4Ag,
hqr7jup,vape,negative,comment,2022-01-01 01:38:54+00:00,chatcmpl-DXwLxfUCS7O5zcq39ZoNswerSE4Ag,
hqr7upx,,,comment,2022-01-01 01:41:19+00:00,chatcmpl-DXwLyROmcWIq1p4YLMFF2YWf5qCwt,
hqr80vn,,,comment,2022-01-01 01:42:44+00:00,chatcmpl-DXwLzhOQHz6RBBU562ME9RenBjiko,
hqr88pq,,,comment,2022-01-01 01:44:30+00:00,chatcmpl-DXwM0NevIJ3YlawDieEpWd7jG3HgA,
hqr8u0z,,,comment,2022-01-01 01:49:16+00:00,chatcmpl-DXwM0b2mX3wiyRJH6iuzAi1Kuj3Zi,
hqr97is,,,comment,2022-01-01 01:52:17+00:00,chatcmpl-DXwM1iZVhM6y0bfwZCMNifXH9qzLP,
hqr9jqj,,,comment,2022-01-01 01:55:00+00:00,chatcmpl-DXwM2vGxDZiAgBYtmFJQT6xebyoqV,
hqraqvk,,,comment,2022-01-01 02:04:12+00:00,chatcmpl-DXwM3Eg6uZH9yE4lQv27C2P00omDg,
hqrb0te,vape,positive,comment,2022-01-01 02:06:23+00:00,chatcmpl-DXwM36saosx9ZAxtdADbui2kf9Mir,
hqrb0te,flower,negative,comment,2022-01-01 02:06:23+00:00,chatcmpl-DXwM36saosx9ZAxtdADbui2kf9Mir,
hqrba77,topical,negative,comment,2022-01-01 02:08:26+00:00,chatcmpl-DXwM4CRgzbawye72ne0119sTfqv9P,
hqrbf55,,,comment,2022-01-01 02:09:32+00:00,chatcmpl-DXwM6Ml4AdnJN7JYRD7CnXpihfjjW,
hqrc9z9,,,comment,2022-01-01 02:16:33+00:00,chatcmpl-DXwM7NMqtu6hNspYxaHytRK9XLcJb,
hqrcdot,,,comment,2022-01-01 02:17:24+00:00,chatcmpl-DXwM71sBzcILXQdwRUnuPDG6fkA0W,
hqrd6tb,,,comment,2022-01-01 02:24:01+00:00,chatcmpl-DXwM8tmckRttISuuKbxOv6G8lpIU9,
hqre9wm,,,comment,2022-01-01 02:32:59+00:00,chatcmpl-DXwM9JWQVgRgs5JIlBDg2mBqgIENb,
hqreo9f,flower,negative,comment,2022-01-01 02:36:21+00:00,chatcmpl-DXwM96F6PzYrgFqHR5CjioeRYWDGv,
hqreo9f,gummies,positive,comment,2022-01-01 02:36:21+00:00,chatcmpl-DXwM96F6PzYrgFqHR5CjioeRYWDGv,
hqrewbl,gummies,positive,comment,2022-01-01 02:38:13+00:00,chatcmpl-DXwMBWNS90zyY754CbnmCbwqdbvkj,
hqrez7r,,,comment,2022-01-01 02:38:55+00:00,chatcmpl-DXwMCycMcfLkjBrpOL5fJQ11jameQ,
hqrfwq7,,,comment,2022-01-01 02:46:42+00:00,chatcmpl-DXwMClLG1DUqinFqvDeCOmAQHlBf7,
hqrfxsp,,,comment,2022-01-01 02:46:58+00:00,chatcmpl-DXwMDuDk61Hj2yxHB5kMHaAWoyYCq,
hqrg3qh,,,comment,2022-01-01 02:48:19+00:00,chatcmpl-DXwMEb9b7IYEdTO3FERtXgcpGSpA5,
hqrge65,,,comment,2022-01-01 02:50:40+00:00,chatcmpl-DXwMEEMJPuQ8WSGmrIRieVaapUPbF,
hqrgicg,,,comment,2022-01-01 02:51:38+00:00,chatcmpl-DXwMFF5jWWZDLqPgsVeuR8VcZ02Xl,
hqrgtyk,flower,positive,comment,2022-01-01 02:54:22+00:00,chatcmpl-DXwMGjwQNbQp8qKOFajI69d4ucNfp,
hqrgtyk,vape,positive,comment,2022-01-01 02:54:22+00:00,chatcmpl-DXwMGjwQNbQp8qKOFajI69d4ucNfp,
hqrgyw1,,,comment,2022-01-01 02:55:33+00:00,chatcmpl-DXwMIwqKqRLdAdTqVl1Xh7qnHrF0x,
hqrhnfe,,,comment,2022-01-01 03:01:24+00:00,chatcmpl-DXwMIfXcp3LRWKNPn2A55NPhAkmmj,
hqri4n5,,,comment,2022-01-01 03:05:27+00:00,chatcmpl-DXwMJiTYUO6Kfm0KmKDmwzt23MDF0,
hqrj3kr,topical,positive,comment,2022-01-01 03:13:56+00:00,chatcmpl-DXwMKKn3zBCSsLXnPkDhxup1Wv99M,
hqrj3m5,,,comment,2022-01-01 03:13:57+00:00,chatcmpl-DXwML3VPRsDreaRWkmahOFh31HSnD,
hqrjhtf,gummies,neutral,comment,2022-01-01 03:17:23+00:00,chatcmpl-DXwMMil2ODuRxpv2MUURyVV6k4cid,
hqrjjwd,vape,negative,comment,2022-01-01 03:17:53+00:00,chatcmpl-DXwMMnTVf0QnZ6JKzhKrooYoZmug8,
hqrjjwd,flower,negative,comment,2022-01-01 03:17:53+00:00,chatcmpl-DXwMMnTVf0QnZ6JKzhKrooYoZmug8,
hqrk605,,,comment,2022-01-01 03:23:07+00:00,chatcmpl-DXwMNfgsb0XNDeglsekqpQ29PDg8K,
hqrl1q1,,,comment,2022-01-01 03:30:42+00:00,chatcmpl-DXwMO6D2q8kXc84HCk6hpHeqLqYXO,
hqrmkqk,gummies,positive,comment,2022-01-01 03:43:48+00:00,chatcmpl-DXwMP6gYG5Okl14F7r4iTSi9VyAT9,
hqrmnao,,,comment,2022-01-01 03:44:26+00:00,chatcmpl-DXwMQONTrcj5vFDqQI79Z9eUunxRW,
hqrmsos,,,comment,2022-01-01 03:45:45+00:00,chatcmpl-DXwMRbC4fbCxwc2RcN1sdfYp6hH0U,
hqrn83s,flower,positive,comment,2022-01-01 03:49:26+00:00,chatcmpl-DXwMSQJbF2RLLeULZ06z7d3WPrykd,
hqrn83s,gummies,negative,comment,2022-01-01 03:49:26+00:00,chatcmpl-DXwMSQJbF2RLLeULZ06z7d3WPrykd,
hqroh4f,,,comment,2022-01-01 04:00:25+00:00,chatcmpl-DXwMT8mlPSWzXbWfLkIoAi5FfsEWZ,
hqrojll,,,comment,2022-01-01 04:01:03+00:00,chatcmpl-DXwMUmNNGzk1XGCrPiPrrJETnk8dU,
hqrp3nd,gummies,negative,comment,2022-01-01 04:06:06+00:00,chatcmpl-DXwMUXXs6sEf0aonGd5s5pgwSS760,
hqrp6mi,,,comment,2022-01-01 04:06:51+00:00,chatcmpl-DXwMWmEXg7k7oLbQEI2UFEOfZSxXB,
hqrp7v6,,,comment,2022-01-01 04:07:10+00:00,chatcmpl-DXwMXXnChWpqQxqBYoKPGc8uSTj56,
hqrp8mb,,,comment,2022-01-01 04:07:21+00:00,chatcmpl-DXwMXUluElnl05vV5QSJpNHDhLEqg,
hqrp9zx,,,comment,2022-01-01 04:07:42+00:00,chatcmpl-DXwMYvjTm228xroY5bZJ123hXeMOF,
hqrpbsz,topical,positive,comment,2022-01-01 04:08:10+00:00,chatcmpl-DXwMZKBaWGt460RgNbyaVrHknxqfJ,
hqrpbsz,oil,positive,comment,2022-01-01 04:08:10+00:00,chatcmpl-DXwMZKBaWGt460RgNbyaVrHknxqfJ,
