text_id,product,sentiment,date_utc
hqrt7lw,vape,positive,2022-01-01 04:45:21+00:00
hqs1aeh,vape,neutral,2022-01-01 06:10:06+00:00
hqs1aeh,oil,neutral,2022-01-01 06:10:06+00:00
hqs7u29,oil,neutral,2022-01-01 07:26:39+00:00
hqs7u29,flower,neutral,2022-01-01 07:26:39+00:00
hqsgolp,gummies,negative,2022-01-01 09:29:19+00:00
hqsgolp,oil,negative,2022-01-01 09:29:19+00:00
hqsgolp,vape,negative,2022-01-01 09:29:19+00:00
hqt14xp,oil,positive,2022-01-01 14:05:55+00:00
hqt14xp,vape,positive,2022-01-01 14:05:55+00:00
hqt21pc,oil,positive,2022-01-01 14:15:04+00:00
hqt76s9,oil,negative,2022-01-01 15:02:10+00:00
hqt9umi,flower,positive,2022-01-01 15:24:57+00:00
hqt9ym4,gummies,positive,2022-01-01 15:25:53+00:00
hqt9ym4,vape,positive,2022-01-01 15:25:53+00:00
hqtcd7f,gummies,positive,2022-01-01 15:45:30+00:00
hqtd46w,flower,positive,2022-01-01 15:51:23+00:00
hqtg7xt,oil,positive,2022-01-01 16:15:30+00:00
hqto7y4,vape,negative,2022-01-01 17:13:15+00:00
hqtp822,flower,positive,2022-01-01 17:20:20+00:00
hqtp822,vape,positive,2022-01-01 17:20:20+00:00
hqtp822,gummies,negative,2022-01-01 17:20:20+00:00
hqu4c9b,vape,positive,2022-01-01 19:03:54+00:00
hqui556,gummies,positive,2022-01-01 20:37:47+00:00
hqui556,flower,negative,2022-01-01 20:37:47+00:00
hquu3dq,oil,negative,2022-01-01 22:00:29+00:00
hqvhvfg,vape,positive,2022-01-02 00:51:39+00:00
hqvhvfg,gummies,neutral,2022-01-02 00:51:39+00:00
hqvhvfg,flower,neutral,2022-01-02 00:51:39+00:00
hqvwzt7,flower,neutral,2022-01-02 02:44:10+00:00
hqvwzt7,vape,neutral,2022-01-02 02:44:10+00:00
hqvwzt7,gummies,negative,2022-01-02 02:44:10+00:00
hqwf7bj,gummies,neutral,2022-01-02 05:10:50+00:00
